sim_num,max_danger,avg_danger,interactions,lane_switch_interactions,tailgating_interactions,goals_not_reached,collisions,emergency_maneuvers,avg_velocity,overall_steps,number_egos
26,0.9091516378160788,0.42164454048843525,1,1,0,1,0,5,15.053269654741472,64,2
27,8.374689774410676,1.6342388437685396,3,3,0,1,0,5,12.738588574912436,150,3
28,7.033701579139269,1.27226965886575,1,1,0,1,0,5,13.140393674034433,150,2
29,5.688802406434915,1.7748150853738554,0,0,0,0,0,0,9.876467996322953,150,3
30,2.6528063912065187,0.8928620695242616,0,0,0,0,0,0,8.403117239781093,169,2
31,2.615509014319672,0.8651488265958258,0,0,0,0,0,0,8.475937034540177,150,2
32,8.374689774410676,1.6342388437685396,3,3,0,1,0,5,12.738588574912436,150,3
33,8.374689774410676,1.6342388437685396,3,3,0,1,0,5,12.738588574912436,150,3
34,7.033701579139269,1.27226965886575,1,1,0,1,0,5,13.140393674034433,150,2
35,8.374689774410676,1.6342388437685396,3,3,0,1,0,5,12.738588574912436,150,3
36,0.9091516378160788,0.42164454048843525,1,1,0,1,0,5,15.053269654741472,64,2
37,8.374689774410676,1.6342388437685396,3,3,0,1,0,5,12.738588574912436,150,3
38,8.866363682738305,1.6521280684515898,2,2,0,1,0,5,12.146451867676337,150,3
39,2.524221778502139,0.7074862878536261,1,1,0,1,0,5,13.773296437932231,81,2
40,8.866363682738305,1.6521280684515898,2,2,0,1,0,5,12.146451867676337,150,3
41,8.058599278829487,1.0955180823438027,1,1,0,1,0,5,11.624832389315944,121,3
42,9.909651563122376,1.6578768283001915,3,3,0,1,0,5,12.392881352910143,135,3
43,2.3883982238559414,0.707144200842523,0,0,0,0,0,0,8.32167506480703,136,2
44,9.961938117058942,1.6558867453994557,3,3,0,1,0,5,12.42330719992449,134,3
45,2.4056711939709703,0.7081680056166786,0,0,0,0,0,0,8.382398443651041,135,2
46,9.961938117058942,1.6558867453994557,3,3,0,1,0,5,12.42330719992449,134,3
47,9.961938117058942,1.6558867453994557,3,3,0,1,0,5,12.42330719992449,134,3
48,2.524221778502139,0.7074862878536261,1,1,0,1,0,5,13.773296437932231,81,2
49,2.4056711939709703,0.7081680056166786,0,0,0,0,0,0,8.382398443651041,135,2
50,6.536440405329702,1.281530704236969,0,0,0,2,1,7,9.561989197709583,135,3
51,2.4056711939709703,0.7081680056166786,0,0,0,0,0,0,8.382398443651041,135,2
52,10.573646189680357,1.3355186815957556,0,0,0,1,0,5,16.998342326803108,76,2
53,8.408740378076248,1.2480734680588306,0,0,0,0,0,1,15.261412033569933,76,2
54,8.867606489745866,1.532839753751511,2,2,0,1,0,5,16.861303435116433,87,2
55,9.029222588324714,1.3195539551372717,0,0,0,1,0,5,16.359524259521457,76,2
56,6.334536060976973,0.8122224058514445,0,0,0,1,0,5,11.144794378484717,123,2
57,10.573646189680357,1.3355186815957556,0,0,0,1,0,5,16.998342326803108,76,2
58,5.764956698053024,1.2177171632268982,1,1,0,1,0,5,12.601237197904425,168,2
59,7.4137028482925516,1.0550650128943544,0,0,0,0,0,0,13.660141524314506,80,2
60,10.573646189680357,1.3355186815957556,0,0,0,1,0,5,16.998342326803108,76,2
61,10.433338166513664,1.3343986202446523,3,3,0,1,0,5,16.97362886967616,77,2
62,9.904739917115068,1.365746345216213,3,3,0,1,0,8,16.656333482507193,82,2
63,9.440487881879928,1.2456137115578432,0,0,0,1,0,5,15.932982874727049,88,2
64,9.442542348235046,1.287408885111025,1,1,0,1,0,5,17.078161594462273,76,2
65,11.819760149853888,1.6846844119887558,2,2,0,1,0,5,20.35813798667843,51,2
66,9.759534505862595,1.3524632057337707,0,0,0,1,0,5,16.887156594295742,72,2
67,11.819760149853888,1.6846844119887558,2,2,0,1,0,5,20.35813798667843,51,2
68,11.819760149853888,1.6846844119887558,2,2,0,1,0,5,20.35813798667843,51,2
69,9.937885549371282,1.5536980968002356,2,2,0,0,0,0,18.677052745289622,64,2
70,9.135138703017546,2.1909386560547275,2,2,0,1,0,5,13.238907015683715,185,3
71,13.199319222439797,2.812940426254373,3,3,0,1,0,5,16.095162204760165,66,3
72,4.363064926199615,1.1282560142656175,0,0,0,0,0,0,14.938202051945185,66,2
73,13.493289760138014,2.822155144956166,4,4,0,1,0,5,15.356246838098686,66,3
74,13.92555363699067,2.817525604931835,4,4,0,1,0,5,14.526305304070197,81,3
75,25.246500895135725,3.9795975897108096,8,8,0,1,0,9,12.491085848760404,126,4
76,22.972297358580597,2.9035157150754136,5,5,0,1,0,9,13.83660700204389,126,3
77,19.426743338553287,4.042802300435989,7,7,0,1,0,10,12.030893948171283,125,4
78,22.972297358580597,2.9035157150754136,5,5,0,1,0,9,13.83660700204389,126,3
79,25.745858594142348,4.030788024587093,12,12,0,1,0,8,12.978566395850624,121,4
80,25.745858594142348,4.030788024587093,12,12,0,1,0,8,12.978566395850624,121,4
81,25.745858594142348,4.030788024587093,12,12,0,1,0,8,12.978566395850624,121,4
82,14.55766535824152,4.042744963570817,7,7,0,1,0,6,13.102826905254886,129,4
83,13.616163645795222,2.822693766487624,4,4,0,1,0,5,15.253262668017719,68,3
84,12.230649564198611,1.9025499384253657,8,8,0,1,0,5,11.4494533529435,121,3
85,16.53236149479649,4.8571687475080765,13,13,0,3,0,15,10.6128090781109,81,4
86,17.71114978366343,3.189267786457783,5,5,0,1,0,5,13.398390754117715,122,4
87,24.008259602487694,4.028286257235711,10,10,0,1,0,8,14.129854423264563,121,4
88,25.745858594142348,4.030788024587093,12,12,0,1,0,8,12.978566395850624,121,4
89,17.608172625986075,2.867254923191259,7,7,0,1,0,9,14.84870143149775,83,3
90,2.6716858554146086,0.7161231433830348,3,3,0,1,0,5,12.082345521924385,81,2
91,25.745858594142348,4.030788024587093,12,12,0,1,0,8,12.978566395850624,121,4
92,2.6716858554146086,0.7161231433830348,3,3,0,1,0,5,12.082345521924385,81,2
93,26.37545240285302,5.2538089687166245,12,12,0,1,0,8,11.857937307607308,121,5
94,26.4557001142435,5.227385683941347,6,6,0,1,0,10,12.541921437129274,121,5
95,9.771794857891425,3.0853121980414917,6,6,0,1,0,10,10.294620588313101,126,4
96,19.698171189633346,5.097986347958583,4,4,0,1,0,12,12.175421844826024,121,5
97,10.26914437426526,3.099006570592118,6,6,0,1,0,10,11.242383032987792,126,4
98,18.977237809546068,5.081153413843169,10,10,0,1,0,11,12.465979165679038,126,5
99,26.4557001142435,5.227385683941347,6,6,0,1,0,10,12.541921437129274,121,5
100,26.4557001142435,5.227385683941347,6,6,0,1,0,10,12.541921437129274,121,5
101,14.815399037655009,5.162993914728463,3,3,0,1,0,8,11.567095543593007,129,5
